,c,k,z
37,94.26884676612194,-196.83998873435718,0.0019455084794686899
38,134.72197878917797,-281.3150242795727,0.0009924683902239949
39,192.53403897878064,-402.04251523543917,-0.00035931295787125397
40,275.1544830063381,-574.5792485694531,-0.0022183858740892027
41,393.2295864673596,-821.1579546252539,-0.00134512072249788
42,561.9771830659732,-1173.5497435196028,0.0005950632056660667
43,803.1430034937104,-1677.1633244330678,-0.002620369720599681
44,1147.7991112286331,-2396.8989985782227,-0.006716339583625313
45,1640.3576522769436,-3425.500994983029,-0.009945589673227782
46,2344.2912366776773,-4895.512151519449,-0.006558420458650507
47,3350.3151582212736,-6996.351416612578,-0.005499010453200905
48,4788.063608124015,-9998.736054919369,-0.0035347293987317407
49,6842.805747683901,-14289.553392995165,-0.004539789537727265
50,9779.313137130868,-20421.721720957546,-0.002345810256560938
51,13975.987297490508,-29185.430216752517,-0.0010765508624671167
52,19973.611059922143,-41709.973181931724,-0.0018651383828045683
53,28545.036930671013,-59609.266986804825,-0.006122403176163638
54,40794.776946223785,-85189.81904236451,-0.00405824556858859
55,58301.34000712834,-121747.93568135961,-0.005100184981869526
56,83320.62109385767,-173994.50326299143,-0.004295345740813161
57,119076.60948762926,-248662.01881949883,-0.0036947589743814993
58,170176.82587424072,-355372.1477800463,-0.0018455999217780142
59,243206.05120808713,-507875.56948249694,-0.0005247496294488476
60,347574.83943349804,-725823.8943990661,0.0012716928819222696
61,496732.1651689596,-1037301.970160486,0.00218497265440759
62,709898.4580621583,-1482446.900528977,0.0011205875028693474
63,1014542.3500644627,-2118620.1165007437,0.0018175235716486392
64,1449920.2909201565,-3027798.9730242966,0.002235822060914522
65,2072135.1335794367,-4327140.366693457,0.0015859552749056072
66,2961365.5558050405,-6184077.585604894,0.0017613413901676903
67,4232197.896553385,-8837895.780468252,0.003046290860625853
68,6048391.763668372,-12630566.27972938,0.002288498842848598
69,8643982.11348415,-18050813.058426306,0.00433415916919503
70,12353437.030413162,-25797089.760585576,0.007181981708749246
71,17654757.31774553,-36867582.5263665,0.008205752390653576
72,25231071.737821594,-52688836.376739495,0.008605328986881343
73,36058665.06943239,-75299579.97092338,0.006926848784548559
74,51532782.27849817,-107613436.42690946,0.005724938885346629
75,73647419.95440066,-153794373.14022487,0.004244833155247594
76,105252272.94516617,-219793271.12265617,0.006481919607909994
77,150419946.37951374,-314114756.23535043,0.005772262050487479
78,214970752.0397811,-448913106.30122304,0.004586880946993676
79,307222714.44087374,-641558452.7849025,0.0023469416997574017
80,439063432.45837903,-916875098.007936,0.0026419558361911078
81,627481916.7409313,-1310340377.7029963,0.005382438291894201
82,896757795.6447546,-1872656274.731617,0.0070592817676558344
83,1281589991.0360665,-2676282882.6447015,0.009454753869540367
84,1831568025.5056272,-3824775621.9730906,0.006466544737374019
85,2617562134.1565957,-5466129404.072918,0.007028566945842168
86,3740855611.5650353,-7811849273.037823,0.004466668112720262
87,5346196189.182955,-11164204970.918886,0.005746363110287885
88,7640448245.287184,-15955181452.718887,0.007574106219521609
89,10919249373.423662,-22802144519.22014,0.006193834277635374
90,15605106277.967327,-32587394647.694847,0.006804016866122572
91,22301839038.441124,-46571860336.61484,0.007775837040603999
92,31872389436.964134,-66557581502.34126,0.007397867269728719
93,45550019739.20378,-95119920557.6446,0.005553032640119041
94,65097231017.00132,-135939423919.3315,0.007513161522536443
95,93032879246.67714,-194276097658.4259,0.004960769462359562
96,132956755390.50784,-277647212509.7641,0.00707990447106321
97,190013454889.42627,-396795980275.32495,0.007475473135376736
98,271555310845.03326,-567075925378.2065,0.00505770882155529
99,388089816539.8616,-810429341850.7307,0.00440159731858663
100,554633622274.8162,-1158214779960.124,0.005183259363651455
101,792647582717.722,-1655247912735.5535,0.004755008831929663
102,1132802205195.0852,-2365576488939.061,0.004648890208549007
103,1618929854923.7346,-3380733533608.9106,0.004436810300532062
104,2313672998819.794,-4831532304581.593,0.00777461853881215
105,3306556321255.786,-6904922904496.479,0.007580310499766438
106,4725522885564.939,-9868082693316.266,0.0077503435651242675
107,6753420892439.885,-14102844794793.412,0.008585776251815273
108,9651565520879.07,-20154901158331.555,0.008845594096827822
109,13793412033315.068,-28804120488660.97,0.012886305149304916
110,19712679265267.234,-41165042220131.63,0.008072711626931295
111,28172124698134.18,-58830496201135.55,0.008254636802736129
112,40261833479207.81,-84076854938319.95,0.007187543623107075
113,57539686923749.055,-120157367229257.75,0.009303071523669632
114,82232111287054.12,-171721372190461.75,0.010977856150864603
115,117520975317219.58,-245413413650385.34,0.01378798005988863
116,167953606241468.84,-350729456859537.5,0.018321925186957667
117,240028758894933.75,-501240539705084.0,0.016637655068967784
118,343034046043704.56,-716341538271372.0,0.01661467565224862
119,490242741273442.1,-1023750392885052.5,0.013290398928228964
120,700624174606501.2,-1463079845211015.0,0.010053190646400577
121,1001288122630757.9,-2090941940867256.2,0.009886685517813836
122,1430978177543639.0,-2988243064374360.0,0.00666825732685321
123,2045064251062966.5,-4270609545513135.0,0.007352906251827168
124,2922677547853932.5,-6103287281968934.0,0.007716994087196116
125,4176907421998875.5,-8722435345413427.0,0.005310780697419925
126,5969374084650553.0,-1.2465557467642846e+16,0.007706947839896608
127,8531055003714952.0,-1.7814992811705514e+16,0.0057995117350489594
128,1.2192048687910366e+16,-2.546007025397256e+16,0.00804997107529299
129,1.7424111219966012e+16,-3.638593538535151e+16,0.003963319335936169
130,2.4901446801700756e+16,-5.2000496489612e+16,0.004756293465549292
131,3.558758578787024e+16,-7.431584777272938e+16,0.0057739200755153606
132,5.08595453225844e+16,-1.0620754806221456e+17,0.004910028240811165
133,7.268527193271062e+16,-1.5178516566054557e+17,0.002547403416607127
134,1.0387723135200909e+17,-2.1692183780670246e+17,-0.0019844496979650695
135,1.484548231909795e+17,-3.100110838411704e+17,-0.0029453067291519575
136,2.1216232124999475e+17,-4.430483951091054e+17,-0.0014700519751988117
137,3.0320908132623795e+17,-6.331769754055671e+17,-1.5845737401187646e-05
138,4.33327399780716e+17,-9.048968162609254e+17,-0.00034555658902911976
139,6.192843386464485e+17,-1.2932217687711575e+18,-0.0031760265660872302
140,8.850423312415619e+17,-1.8481914326255747e+18,0.0004843791178668084
141,1.2648469841842504e+18,-2.6413192648901504e+18,0.0016805220790027924
142,1.8076399703454822e+18,-3.7748078126132234e+18,0.0016404627824757342
143,2.5833656586515845e+18,-5.394718545226086e+18,0.0016594845821536397
144,3.6919841538051517e+18,-7.709793352912145e+18,0.00371412906964357
