,A,C,K,Y,I
32,1.8845405921011302,2.970224336774567,2.139072480403892,1.9575438425480007,-1.0126804942265661
33,1.922231403943153,3.1315659917324363,2.1534696842598198,1.988866333876922,-1.1426996578555144
34,1.960676032022016,3.302582237145941,2.1717606415810904,2.021751040999122,-1.2808311961468188
35,1.9998895526624565,3.4795267542307715,2.192533392592558,2.0558341364642527,-1.4236926177665188
36,2.0398873437157055,3.674222179268881,2.2196113920586376,2.0922203017987586,-1.5820018774701223
37,2.08068509059002,3.8797412428643145,2.248066294670011,2.1295467711956744,-1.7501944716686402
38,2.12229879240182,4.098003284261127,2.278765579441546,2.168075811186736,-1.929927473074391
39,2.1647447682498564,4.32360815380964,2.310441024566929,2.207461588732131,-2.116146565077509
40,2.2080396636148536,4.569876329021552,2.347051708058822,2.2488557892307397,-2.3210205397908124
41,2.252200456887151,4.820320766010322,2.382968524679209,2.290658888292031,-2.5296618777182904
42,2.297244466024894,5.087510849254117,2.423183637121332,2.334322994448049,-2.7531878548060678
43,2.343189355345392,5.362075957425292,2.4646594369940154,2.378987966688667,-2.983087990736625
44,2.3900531424522997,5.637496731835022,2.5078642696758204,2.424803212057157,-3.2126935197778654
45,2.437854205301346,5.917632451908024,2.5553819537380043,2.4725333464782664,-3.4450991054297577
46,2.4866112894073726,6.198094926205839,2.6066281334029355,2.522024227340186,-3.6760706988656535
47,2.53634351519552,6.484955550881704,2.663073063142948,2.5737157218474427,-3.9112398290342614
48,2.587070385499431,6.7761291586980485,2.723446259450314,2.627250081531003,-4.148879077167045
49,2.6388117932094195,7.079666572517029,2.788484909384039,2.6828499342021175,-4.396816638314911
50,2.691588029073608,7.399258890127869,2.857001090610285,2.740180260831577,-4.6590786292962925
51,2.74541978965508,7.725210269577493,2.926607033746311,2.7985653682434277,-4.926644901334066
52,2.8003281854481816,8.05917035411493,2.9985399993455975,2.8583750086911284,-5.200795345423801
53,2.856334749157145,8.406004294364083,3.0734799886971027,2.919816035096838,-5.486188259267244
54,2.9134614441402884,8.752400349261167,3.1494738991771642,2.982345103804931,-5.770055245456236
55,2.971730673023094,9.118971783825186,3.23016401171393,3.047010740599774,-6.0719610432254125
56,3.031165286483556,9.508938445091696,3.313526029309907,3.11324894089037,-6.395689504201325
57,3.091788592213227,9.911613332621197,3.3973433716926067,3.1804508344963223,-6.731162498124875
58,3.153624364057492,10.369940925456556,3.4862683515361925,3.2499390600155342,-7.120001865441021
59,3.2166968513386416,10.857915983172353,3.5730910940183205,3.3197113270997014,-7.538204656072651
60,3.2810307883654146,11.355449748355465,3.658022464296597,3.3898550208503475,-7.965594727505117
61,3.346651404132723,11.856847872750128,3.7439754712797115,3.4612042847337987,-8.39564358801633
62,3.4135844322153774,12.364399766841297,3.833012502278043,3.534349760319554,-8.830050006521743
63,3.481856120859685,12.871009446584946,3.9250080685460302,3.609273067900571,-9.261736378684375
64,3.551493243276879,13.416771056752227,4.0234427506952475,3.686948257550658,-9.72982279920157
65,3.6225231081424165,13.95565127455227,4.121371241071327,3.7654799203889553,-10.190171354163315
66,3.694973570305265,14.50319079695166,4.223243318732564,3.8461105796919157,-10.657080217259745
67,3.76887304171137,15.04640685416202,4.327821806099972,3.9285190810191035,-11.117887773142916
68,3.8442505025455977,15.630633624039701,4.438781715946571,4.013722217016211,-11.61691140702349
69,3.9211355125965097,16.182443070941677,4.54809093374997,4.0995580260716356,-12.082885044870041
70,3.99955822284844,16.732727614559554,4.662953074384221,4.188000547867351,-12.544727066692204
71,4.079549387305409,17.288618909230678,4.782554672503596,4.2788446554387,-13.009774253791978
72,4.1611403750515175,17.864752918330886,4.90662544522521,4.3720339813257265,-13.49271893700516
73,4.244363182552547,18.46663060705647,5.0339125442148305,4.467252256500863,-13.999378350555606
74,4.329250446203599,19.070772419906287,5.162448356530922,4.563999764224458,-14.506772655681829
75,4.41583545512767,19.721736272206368,5.296060745892439,4.663316637019124,-15.058419635187244
76,4.504152164230224,20.395526434006634,5.430679234381345,4.764149521734358,-15.631376912272277
77,4.594235207514829,21.178911096895757,5.571336821165011,4.8678488257390296,-16.31106227115673
78,4.686119911665125,21.9130666085468,5.705174838655587,4.971072140082224,-16.941994468464575
79,4.779842309898428,22.685947904755448,5.846115560142739,5.07749748750361,-17.608450417251838
80,4.875439156096396,23.42509672612335,5.987538431403417,5.185422082926078,-18.239674643197272
81,4.972947939218325,24.139654480614798,6.133893930701719,5.296032205673011,-18.843622274941787
82,5.072406898002691,24.959174013074296,6.2904644359453545,5.410715170801262,-19.548458842273035
83,5.173855035962745,25.87676865234694,6.448602343400587,5.527257000262129,-20.34951165208481
84,5.277332136682,26.715049292705203,6.600621455258034,5.643721150230406,-21.071328142474798
85,5.38287877941564,27.554856940611202,6.760268466297635,5.763673922164147,-21.791183018447057
86,5.490536355003953,28.404129050365434,6.925257752672094,5.886553869308393,-22.51757518105704
87,5.600347082104032,29.148597849397877,7.090707033659464,6.011146644641646,-23.137451204756232
88,5.712354023746113,29.90271780949519,7.266634081752498,6.140031058482228,-23.76268675101296
89,5.8266011042210355,30.692183504258637,7.448652128459878,6.272114939244525,-24.420068565014112
90,5.943133126305456,31.507371423104733,7.633986158298121,6.406727191579482,-25.10064423152525
91,6.061995788831565,32.21370402975034,7.818572941768338,6.542883521051366,-25.670820508698974
92,6.1832357046081965,33.002659637783594,8.015375988188113,6.6838736455152565,-26.31878599226834
93,6.30690041870036,33.82068665253272,8.214223429316437,6.82717657175292,-26.9935100807798
94,6.433038427074368,34.64836993643183,8.41575078485601,6.972991917580501,-27.675378018851326
95,6.561699195615856,35.43942152664956,8.619928291133322,7.121353067363131,-28.31806845928643
96,6.692933179528173,36.29387257406918,8.83213848576732,7.273631643509096,-29.02024093056008
97,6.826791843118737,37.22763741634907,9.048479814293351,7.428897208797332,-29.798740207551738
98,6.963327679981111,38.14142826911758,9.264881960595195,7.586190600955915,-30.555237668161666
99,7.102594233580733,39.0771215387408,9.486992675943233,7.746945000335336,-31.33017653840546
100,7.244646118252348,40.09119673845156,9.715182228025956,7.911290075627727,-32.17990666282383
101,7.389539040617396,40.96908009186316,9.941387932949883,8.077300679840869,-32.891779412022295
102,7.5373298214297435,41.87296268670938,10.178766383281928,8.248230858475294,-33.62473182823408
103,7.688076417858339,42.63920309870697,10.41769269493196,8.421779116811383,-34.21742398189559
104,7.841837946215505,43.34816413561346,10.666192253653195,8.599938123043502,-34.74822601256996
105,7.998674705139815,44.11633161079654,10.92457593676583,8.782820377592099,-35.33351123320445
106,8.158648199242611,44.89167513006502,11.18645683529927,8.968927431083873,-35.92274769898114
107,8.321821163227465,45.652247469652444,11.452788505133785,9.158539803298824,-36.49370766635362
108,8.488257586492013,46.407393272957144,11.724972976975797,9.352043976009858,-37.055349296947284
109,8.658022738221854,47.259768671583096,12.00521197416511,9.550015033698775,-37.70975363788432
110,8.831183192986291,48.19705624708351,12.289259527093964,9.751489117276321,-38.44556712980719
111,9.007806856846017,49.08086681855217,12.574173546789314,9.955823322172987,-39.12504349637918
112,9.187962993982937,50.01359029635262,12.867649471413081,10.164902859072964,-39.84868743727965
113,9.371722253862597,50.9218541907886,13.165038948275633,10.377678947078019,-40.54417524371058
114,9.55915669893985,52.08920258504831,13.474743388620531,10.596192941720433,-41.49300964332788
115,9.750339832918646,53.20197656096726,13.780293190790308,10.816614805544253,-42.385361755423006
116,9.945346629577019,54.303612293900585,14.09298556541019,11.041672183114457,-43.26194011078613
117,10.14425356216856,55.390362316304795,14.412534402075291,11.271356192482218,-44.11900612382258
118,10.347138633411932,56.45262387462613,14.738938611532582,11.505726612245905,-44.94689726238022
119,10.55408140608017,57.55378767161248,15.07384768294566,11.745230508289684,-45.8085571633228
120,10.765163034201773,58.709061164019474,15.415539486504693,11.989526899619461,-46.71953426440001
121,10.98046629488581,59.70439495691128,15.759449895483248,12.23761720819463,-47.46677774871665
122,11.200075620783526,60.66031927523627,16.114861359526753,12.491731490890984,-48.168587784345284
123,11.424077133199196,61.48988089162078,16.477075607165652,12.750840965594422,-48.73903992602636
124,11.65255867586318,62.49714006745191,16.85404409422804,13.016857385256431,-49.48028268219548
125,11.885609849380444,63.83078102835497,17.23911594333168,13.288303122193776,-50.542477906161196
126,12.123322046368054,65.36076187565814,17.624663175107028,13.563488302661598,-51.797273572996545
127,12.365788487295415,66.95929141725244,18.012369468508634,13.842882214559683,-53.116409202692765
128,12.613104257041323,68.71614268322013,18.408254973739673,14.127950877609981,-54.588191805610144
129,12.86536634218215,70.52089404819719,18.808535045336598,14.417899743898216,-56.102994304298974
130,13.122673669025794,72.57982053166982,19.219705615974934,14.714301470962173,-57.865519060707655
131,13.38512714240631,74.76116766129901,19.634419820709347,15.015547508481767,-59.745620152817246
132,13.652829685254435,76.93783067315287,20.05433343806725,15.32210168731182,-61.61572898584105
133,13.925886278959524,78.97416572619471,20.481466953843814,15.634511229835589,-63.339654496359124
134,14.204404004538715,80.94133507894598,20.920795646596233,15.953999366319815,-64.98733571262616
135,14.48849208462949,82.98792822700162,21.3728714026002,16.28077570875152,-66.7071525182501
136,14.77826192632208,84.86738037665924,21.83063871896472,16.61331441834281,-68.25406595831643
137,15.073827164848522,86.74239257222163,22.302106081290706,16.953533748549937,-69.78885882367169
138,15.375303708145493,88.87635402858054,22.787297474571822,17.30152715616409,-71.57482687241645
139,15.682809782308402,91.04820018904434,23.277169192756443,17.655326827159545,-73.3928733618848
140,15.996465977954571,93.6059697352223,23.780904730958344,18.01711890028428,-75.58885083493803
141,16.31639529751366,96.46325272551157,24.29024616167309,18.38512249143888,-78.07813023407269
142,16.642723203463937,99.30348924040821,24.80333667538825,18.75901823810821,-80.5444710023
143,16.975577667533216,101.91777924233628,25.325088636806584,19.14002433371486,-82.77775490862142
144,17.31508922088388,104.55988981929869,25.86325419098977,19.530000934118828,-85.02988888517986
145,17.661391005301557,107.14238903631912,26.41211610532668,19.92775582527487,-87.21463321104424
146,18.014618825407588,109.84301189832915,26.97511728128107,20.33417498478828,-89.50883691354088
147,18.37491120191574,112.92958090193204,27.55183904931024,20.749271439969217,-92.18030946196282
148,18.742409425954058,115.81052738125068,28.13138418466291,21.17069546999032,-94.63983191126036
149,19.11725761447314,118.64613287735452,28.726269980516218,21.60138941355263,-97.0447434638019
150,19.4996027667626,121.60199027338143,29.33596556063186,22.04134798240338,-99.56064229097805
151,19.889594822097852,124.87119979984534,29.959414658383903,22.490450378933033,-102.38074942091231
152,20.28738671853981,128.31038238636103,30.592111735039087,22.947802977593277,-105.36257940876774
153,20.693134452910606,131.90030018716092,31.236480861999112,23.41407610527396,-108.48622408188696
154,21.10699714196882,135.88526973442143,31.895400058260453,23.890043034725498,-111.99522669969593
155,21.529137084808198,140.0530266918119,32.56356664396748,24.374640897735134,-115.67838579407677
156,21.95971982650436,144.2094681807893,33.242942446467985,24.868442916270013,-119.34102526451927
157,22.39891422303445,148.4361792509417,33.93759964901198,25.37249720119807,-123.06368204974363
158,22.846892507495138,152.51323594955315,34.64505312481445,25.886382636275336,-126.62685331327782
159,23.30383035764504,156.80867546068458,35.37138317435976,26.41160113498564,-130.39707432569895
160,23.769906964797944,161.4504282011089,36.112762888819816,26.947436192267084,-134.50299200884183
161,24.2453051040939,165.21476170644476,36.85891388636087,27.491733020649495,-137.72302868579527
162,24.73021120617578,169.43170789414737,37.63536946139339,28.050353124749755,-141.3813547693976
163,25.224815430299294,173.69140712724692,38.423038257308285,28.619174916150556,-145.07223221109638
164,25.72931173890528,178.17004578234054,39.22786796296732,29.199682534019733,-148.9703632483208
165,26.24389797368339,182.94322674508447,40.04871775626029,29.791778011478026,-153.15144873360646
166,26.768775933157055,186.9657245325459,40.87840856224122,30.39402054627346,-156.57170398627244
167,27.3041514518202,190.62507060812294,41.731807357903094,31.009890818259198,-159.61517978986373
168,27.850234480856603,194.23766409904863,42.60700231063244,31.639127099505796,-162.59853699954283
169,28.407239170473737,197.63202388111915,43.499473745983664,32.28089151504676,-165.3511323660724
170,28.97538395388321,201.21582594278104,44.41364710768929,32.9363425568663,-168.27948338591474
171,29.554891632960874,204.6834863567752,45.343732189529135,33.60436853840261,-171.0791178183726
172,30.145989465620094,207.56377476830338,46.29049060492005,34.28532062700626,-173.27845414129712
173,30.748909254932496,210.79132804646025,47.26453150009104,34.981739999783294,-175.80958804667696
174,31.363887440031146,214.56418918773272,48.25781041180339,35.69202631172973,-178.872162876003
175,31.99116518883177,218.66179659427533,49.26719242643062,36.41567672673379,-182.24611986754155
176,32.6309884926084,222.5463521904711,50.29242584644953,37.15283307703474,-185.39351911343635
177,33.283608262460575,226.41289456522838,51.3403601290172,37.90521414455079,-188.5076804206776
178,33.94928042770979,230.616813782629,52.41150108219664,38.67313516385532,-191.94367861877367
179,34.62826603626398,235.18502192396025,53.502955101942554,39.456163332689414,-195.72885859127084
180,35.32083135698926,240.30558373102477,54.615775348110745,40.25474436584317,-200.0508393651816
181,36.02724798412905,245.37943546485897,55.74581981549607,41.068179754272535,-204.31125571058644
182,36.74779294381163,249.87170901739537,56.89642942917514,41.89743021977911,-207.97427879761625
183,37.482748802687865,254.13966786095904,58.07458131944356,42.74426256787718,-211.39540529308186
184,38.23240377874162,258.78022850156026,59.28042093470688,43.60893760436865,-215.17129089719162
185,38.99705185431645,263.90108748688385,60.509677984280536,44.49074680273119,-219.41034068415266
186,39.776992891402784,270.26649302885824,61.7652240309096,45.39056301804866,-224.87593001080958
187,40.57253274923084,276.7916645745968,63.036602353241115,46.306325762273005,-230.4853388123238
188,41.383983404215456,283.5490681307068,64.33345603353972,47.24041113603023,-236.3086569946766
189,42.21166307229977,290.31133746838384,65.65506336039088,48.192914520090596,-242.11842294829324
190,43.055896333745764,296.95030936127426,67.00319738858035,49.164485948234194,-247.78582341304008
191,43.91701426042068,304.150238183874,68.38208084225766,50.15631926732196,-253.99391891655205
192,44.795354545629095,311.66965314659785,69.78626883337994,51.16748589744447,-260.5021672491534
193,45.691261636541675,319.1758739281696,71.21676363792928,52.19848222055751,-266.9773917076121
194,46.60508686927251,326.1282652373983,72.67456179507927,53.24980868716548,-272.87845655023284
195,47.53718860665796,333.1254381220142,74.16612930660773,54.323173084683965,-278.80226503733024
196,48.48793237879112,339.99614685727124,75.68738863746594,55.417971143677846,-284.5781757135934
197,49.457691026366945,347.8267187901772,77.24371781674726,56.535682136718016,-291.2910366534592
198,50.44684484689429,356.42597104876455,78.82806028064707,57.675060426904196,-298.7509106218604
199,51.455781743832176,364.4452640222904,80.43777541514378,58.835837771440346,-305.60942625085005
200,52.484897378708816,373.42687264972125,82.08695470170659,60.02142333321078,-313.4054493165105
201,53.534595326283,382.1277680747912,83.76308328296098,61.229394323497864,-320.8983737512934
202,54.60528723280866,391.0674693280273,85.47569485000906,62.46217160055232,-328.605297727475
203,55.69739297746483,401.0655833090476,87.22502929484352,63.72014340987499,-337.3454398991726
204,56.81134083701413,410.40790805352765,89.00206548873848,65.00167579695457,-345.40623225657305
205,57.94756765375441,420.02844437709035,90.81967979051669,66.3099404266071,-353.71850395048324
206,59.1065190068295,428.8802554983126,92.67067620999224,67.64371758577796,-361.23653791253463
207,60.28864938696609,436.28369045589176,94.55930004746247,69.00430132128439,-367.27938913460736
208,61.494422374705415,444.70760366522666,96.49646335885201,70.39445120074544,-374.3131524644812
209,62.72431082219952,453.33408884683064,98.46815161790487,71.81147785988502,-381.5226109869456
210,63.97879703864351,461.42026962333364,100.47711133715408,73.25636941881393,-388.1639002045197
211,65.2583729794164,468.28702446921193,102.52606824893007,74.73011664544102,-393.5569078237709
212,66.56354043900471,475.01322797192995,104.62180018923029,76.23460352926034,-398.77862444266964
213,67.89481124778482,483.2003546531716,106.76400956603003,77.77017430988103,-405.43018034329054
214,69.25270747274051,491.97153348707883,108.94381467074614,79.33530639717809,-412.63622708990073
215,70.63776162219531,500.59287258000944,111.16430028517645,80.93110158366171,-419.66177099634774
216,72.05051685463923,508.77734442096704,113.42907043067241,82.55878298231946,-426.2185614386476
217,73.49152719173202,517.2924857454674,115.74211308185667,84.21966560455212,-433.07282014091527
218,74.96135773556665,524.4904107973183,118.09715283069461,85.91283277294235,-438.57757802437595
219,76.46058489027799,533.3086705978351,120.5088279096751,87.64194151477486,-445.6667290830602
220,77.98979658808355,542.8789719680508,122.96373560377371,89.40453852904487,-453.4744334390059
221,79.54959251984522,553.93247326779,125.46799055187046,91.2024393445716,-462.7300339232184
222,81.14058437024212,564.596412098567,128.01566014913544,93.03484144915198,-471.56157064941505
223,82.76339605764697,576.422376876534,130.61863660464368,94.9048388163249,-481.5175380602091
224,84.41866397879991,589.2385825478653,133.2715321891653,96.81176757607787,-492.4268149717875
225,86.10703725837591,600.5222989824915,135.9709583975134,98.75541084722478,-501.76688813526675
226,87.82917800354343,612.2210229779299,138.73147350020076,100.73947250202741,-511.4815504759025
227,89.5857615636143,624.5374925827813,141.5473037576441,102.76323638864142,-521.7742561941399
228,91.37747679488659,636.402684208492,144.41669456181128,104.8268735894988,-531.5758106189933
229,93.20502633078432,648.0816557565322,147.34511331797265,106.93213907767874,-541.1495166788535
230,95.06912685740001,660.575690067101,150.3346256782927,109.08005791121273,-551.4956321558883
231,96.97050939454802,673.2860491220323,153.38183555576813,111.27047785162944,-562.0155712704029
232,98.90991958243897,684.9578521128802,156.48773636995216,113.50421427592529,-571.453637836955
233,100.88811797408776,697.7068613652772,159.66143270849773,115.78385920371562,-581.9230021615615
234,102.90588033356951,711.0493660044909,162.89640852669618,118.10861788116485,-592.9407481233261
