,c,k,z
0,0.0,0.0,0.0
1,0.0,0.0,-0.0016089166070496104
2,-0.0013685952607045812,-0.0011340775386653183,-0.0008866076825174154
3,-0.0020675673783039795,-0.0010368665234061656,-0.000893243059335689
4,-0.002846933536595172,-0.0005108104529598287,0.00044006675048472474
5,-0.002612193792106234,0.0013800024085267415,-0.00018352993261355256
6,-0.0031456413929035155,0.002757209872531305,0.0006045956725917394
7,-0.00319501029652959,0.0048849668259896475,0.0003594912855803591
8,-0.0037000005896426417,0.006762268045922535,-0.0006184494294201961
9,-0.005283079169149516,0.00811195954666348,0.0006025440462039285
10,-0.006008321172846007,0.010785063241384221,-0.0003569182084969502
11,-0.007864464129829975,0.012860804739986038,0.000995490315903931
12,-0.008792740970666114,0.016204304238394873,-0.0006665154207761479
13,-0.011510396724350901,0.018384741022288403,-0.0030253293174030086
14,-0.016598742026636144,0.01992029974332129,-0.0036859831742529726
15,-0.022592556959159214,0.02286829972662547,-0.003866438696285609
16,-0.029209606358782295,0.027554406614510106,-0.003466730973401365
17,-0.036071405806709485,0.03406728378705456,-0.0035702384019028225
18,-0.04373949729720787,0.04164264487038888,-0.0019803417318897086
19,-0.050750581686349626,0.05095194121789842,0.0006622659075197076
20,-0.0561888614512661,0.06147079448588101,-0.001344342045451001
21,-0.06419896021425137,0.06957784590255783,-0.0019467958496015324
22,-0.07337745929354947,0.07725231382904027,-0.0020484194531410096
23,-0.08322765367138522,0.08498104985663316,-0.0011316142798009129
24,-0.09279618114591154,0.09314315579482163,0.0007637415125980309
25,-0.10115248680912076,0.10158733045496929,0.0013497904571008563
26,-0.10940874943073498,0.10882981473760839,0.004348623064961683
27,-0.11523961289933203,0.11593485830416478,0.003030844181656998
28,-0.12246386825094734,0.11993323976538767,0.002113007150805552
29,-0.1305629047166721,0.12236624150700384,0.0003614748663871416
30,-0.14022963848766426,0.12362477924873154,0.003543567859189091
31,-0.14690885317152572,0.12654407965434442,0.0032278268683777643
32,-0.15380137562323207,0.12796165324623182,0.0032328545092465927
33,-0.16053979241323466,0.12856379340428076,0.002417362433431481
34,-0.16783754430274264,0.12825583871558532,0.0022048999357453334
35,-0.1751142209990378,0.12778143618771368,0.0014857348155642978
36,-0.18283368602426203,0.12699330892741983,0.005257468335586097
37,-0.18684285195660516,0.1277293648696481,0.004837276911803223
38,-0.19100141133960855,0.12666952695657713,0.0034312816210830344
39,-0.19616701793038513,0.12435228290494543,2.3753067795457238e-05
40,-0.2041846186310207,0.12104095412050084,0.0017570870489611891
41,-0.21031527095784677,0.11977210694176668,-0.0004116414739271793
42,-0.21822558085053118,0.11777204418237673,0.0009097834496497896
43,-0.2246856382980144,0.11701378392757347,0.0062635859896845985
44,-0.22595784640964822,0.11769620438474054,0.007554455718133433
45,-0.22578586045328866,0.11642885539960007,0.0049828904166896075
46,-0.22770279527583479,0.11275464613727872,0.004377637003378226
47,-0.22985698253473827,0.109169255037188,0.003313014197974912
48,-0.23269916464469184,0.10564831294634341,0.002486562393057722
49,-0.23603304406165987,0.10248198093276899,0.0001399087168834764
50,-0.24130856586549135,0.09925231742200605,-0.0013510982203113343
51,-0.24776118056251178,0.0967568533638025,0.0038659750781806675
52,-0.24915038903927686,0.09664549952501994,0.0058191029719648815
53,-0.24852671743100516,0.09551293318483604,0.0017958788105657784
54,-0.2514542699648813,0.09204321235540516,0.00041173101692017905
55,-0.2554639363647031,0.08916668017613666,0.0025556260808336445
56,-0.2572782926986774,0.08767208163164848,0.0027811854079122997
57,-0.2587071767572679,0.0858168218562726,0.0009714696719316507
58,-0.2616592586475614,0.08331815770552115,-0.0024671004426993597
59,-0.26767714493417705,0.08057983677230604,-7.691095820989199e-05
60,-0.2713140166644891,0.07972322261575093,0.002023996035237746
61,-0.2728538156067698,0.07900828655148795,-0.0023338545073775616
62,-0.27836068125597513,0.07656457935983424,-0.005091440571173089
63,-0.28634278391419477,0.0746662336509383,-0.004480994331113456
64,-0.2936609201205688,0.07412452968795258,-0.0014680991219858386
65,-0.29806710305660117,0.07437943222216535,-0.0008120537942603221
66,-0.3017712261922864,0.07388142781302436,-0.0009354634924926232
67,-0.3054958979155099,0.0728744572592058,0.0003997949063046759
68,-0.30786337438748257,0.07200709804142914,0.0010359650561552552
69,-0.3095289038696515,0.07083834313906245,0.0026990323007590952
70,-0.3095200293093812,0.06967843849917224,0.0006901421246924098
71,-0.31129552585826337,0.0676209244746423,0.0010157849301706265
72,-0.3126585917100264,0.06604915541456424,-0.0018817454890052928
73,-0.3166587957683111,0.0640273110104939,-0.002523169770271124
74,-0.32118015966801583,0.06270465214257478,-0.005443587261481163
75,-0.32838721737982474,0.06128813390120739,-0.006440951295421488
76,-0.3364783836432204,0.060567301501181794,-0.0041440960475232
77,-0.3423522468390849,0.060673214358861166,-0.005968930488199261
78,-0.34990105642055447,0.06001291544306858,-0.0015790364700913086
79,-0.35325279097917733,0.06034383321311101,-0.00100008760906796
80,-0.35600061823005447,0.05975882375431879,0.0003522418308486954
81,-0.35740604922086583,0.0589982004274896,-0.002197417338328941
82,-0.3611554569482357,0.05747371812943745,0.0006607647287472586
83,-0.3621398133115046,0.05686722836633483,-0.0005920837660025994
84,-0.36424650690541965,0.055562574974737315,-0.0005009636873475457
85,-0.3662060851588258,0.05445154906063711,0.0011633978515261587
86,-0.3665325949637692,0.053596779895985255,0.004013855422461264
87,-0.36410168796939757,0.05277931696448454,0.0026458097585076766
88,-0.3629011153509223,0.05113551585262655,0.0033442141741507705
89,-0.36097681178583796,0.04976485877838071,0.0045110550207572014
90,-0.3578873086533037,0.04846260681182381,0.006024492873968499
91,-0.35330425695343287,0.047126307159047365,0.0033178615770777854
92,-0.35122362208604574,0.04516489310476297,0.008875506850334417
93,-0.3438234600858964,0.04435830231310531,0.003068546612689832
94,-0.3418649500859749,0.041957652572429865,0.0005774957643468392
