,A,C,K,Z,Y,I
0,1.0,0.988469588504255,1.6021415247498,1.0,1.1518880240287326,0.16341843552447755
1,1.02,1.0082389802743401,1.634184355244796,0.9965065852755961,1.1708212814736205,0.1625823011992804
2,1.0404,1.0253469477689743,1.6627614202238208,0.9973642860174653,1.1943814096786094,0.16903446190963511
3,1.0612080000000002,1.0436310416122812,1.6955423078631793,0.9997988579243662,1.2211403625994044,0.17750932098712324
4,1.08243216,1.0643150561862789,1.7340314809847452,0.9993042658702178,1.2459347982695643,0.18161974208328546
5,1.1040808032,1.084532131887547,1.773216223916038,1.0013023113940258,1.274366448105893,0.189834316218346
6,1.126162419264,1.106602848902504,1.8166835777127095,1.0022673952603638,1.3028310818718547,0.19622823296935077
7,1.14868566764928,1.1294929787386778,1.8618157261835748,1.0025973136973096,1.3312155640847456,0.2017225853460678
8,1.1716593810022657,1.1526309528550926,1.9072225719005969,1.0003242150671088,1.3565073687149969,0.20387641585990424
9,1.195092568622311,1.1734383180720507,1.949650192601284,0.9999289652561636,1.3840036647340772,0.21056534666202653
10,1.2189944199947573,1.193868436146209,1.993582741297119,1.000442615410276,1.4134604623607696,0.21959202621456053
11,1.2433743083946525,1.2148052575399906,2.0405704959207522,0.9995044604600103,1.4418880417626285,0.22708278422263795
12,1.2682417945625455,1.2345954087268785,2.088409345489556,1.0003995275238455,1.4735321271814217,0.23893671845454323
13,1.2936066304537965,1.2551766048357027,2.140330466812372,0.9992125954124521,1.5033624998646051,0.24818589502890243
14,1.3194787630628724,1.2741253576391154,2.192842202766811,1.0008857571790708,1.5380427494764175,0.2639173918373021
15,1.3458683383241299,1.2946376916813955,2.250740080562098,1.0021889307012173,1.5737980705567967,0.2791603788754011
16,1.3727857050906125,1.316259826416957,2.311609268785974,1.0018701357985875,1.6080801202317903,0.2918202938148333
17,1.4002414191924248,1.3371379290992411,2.372024021969922,1.0007126628780998,1.6412969564423356,0.3041590273430945
18,1.4282462475762734,1.3563206881497336,2.4314945923818723,1.002740000931704,1.6800124363320095,0.32369174818227586
19,1.4568111725277988,1.3777392812241107,2.4954650061127848,1.0017246555386412,1.715047263580458,0.3373079823563472
20,1.485947395978355,1.3976806473060084,2.557463218336563,0.999400554773239,1.7477721298501918,0.35009148254418343
21,1.5156663438979219,1.4145238153197814,2.6173456306346297,1.0026718827370027,1.7903571886911425,0.375833373371361
22,1.5459796707758804,1.435440208623127,2.685127741403705,1.005633925170741,1.834729510951108,0.3992893023279809
23,1.5768992641913981,1.4601495977732792,2.755481663680833,1.004845149957772,1.8733596579527068,0.4132100601794275
24,1.6084372494752261,1.4839566338319985,2.8200743763697673,1.002911135167485,1.9090772733250272,0.4251206394930287
25,1.6406059944647307,1.5054837124980938,2.879749507035491,1.0031355035393095,1.9483591754558542,0.4428754629577605
26,1.6734181143540252,1.52774156554835,2.940650069457509,1.0048600042926152,1.9914146191323245,0.4636730535839746
27,1.7068864766411058,1.5528964233484122,3.004199261536699,1.0060862681755192,2.034684554252193,0.4817881309037808
28,1.741024206173928,1.5804160656517283,3.067267051350739,1.0085236641350623,2.0810136858819646,0.5005976202302362
29,1.7758446902974065,1.6123029058310554,3.1303751801664204,1.0074382166787543,2.120707761316247,0.5084048554851914
30,1.8113615841033548,1.6436729632786433,3.1865723698140562,1.0071771402098055,2.1612579456060357,0.5175849823273924
31,1.847588815785422,1.6758904205388427,3.240525309994714,1.0072649939205058,2.202683474322087,0.5267930537832441
32,1.8845405921011302,1.7095819028262371,3.293922607470571,1.0039983325248378,2.2371281173445783,0.5275462145183412
33,1.922231403943153,1.7394797313915533,3.342842446587131,1.0022807347309224,2.2745114257763928,0.5350316943848394
34,1.960676032022016,1.767827832807184,3.394589455448427,1.0038043572005981,2.3204346489703327,0.5526068161631488
35,1.9998895526624565,1.7997521642891938,3.454225672347917,1.0051212404629346,2.368251773176038,0.5684996088868444
36,2.0398873437157055,1.8349680036111913,3.5170866456756387,1.0039486445161812,2.411519324025001,0.5765513204138095
37,2.08068509059002,1.8693491442172792,3.577738445539982,1.006141854476761,2.4631237996412803,0.5937746554240011
38,2.12229879240182,1.908742265825366,3.6429551613265523,1.0024386516876935,2.501834172858291,0.5930919070329248
39,2.1647447682498564,1.9428365029685115,3.701589629818588,0.9996011803039803,2.5417213111418517,0.5988848081733402
40,2.2080396636148536,1.9728678116410787,3.761944684375852,0.9971602165237912,2.583410819980995,0.6105430083399161
41,2.252200456887151,1.9992164405126143,3.8271515023240483,0.9962166644473441,2.630518910116769,0.6313024696041547
42,2.297244466024894,2.0243751115168833,3.8998552998182117,0.9950748401517363,2.6792629794663427,0.6548878679494594
43,2.343189355345392,2.047769275117424,3.9777734389333825,0.9953350818163209,2.733546680323248,0.6857774052058239
44,2.3900531424522997,2.0719525905856755,4.0618947725621135,0.9943481136476883,2.78639283673826,0.7144402461525847
45,2.437854205301346,2.094449156639222,4.147939471206978,0.9972188479741256,2.851317712265061,0.756868555625839
46,2.4866112894073726,2.1228354101736318,4.241440224559642,0.9939066735409844,2.9008491328277937,0.7780137226541619
47,2.53634351519552,2.1449079601369068,4.328508820466696,0.9922571431500916,2.9544141661342653,0.8095062059973586
48,2.587070385499431,2.163846922176684,4.41871377843587,0.9933528671018639,3.017575063363393,0.8537281411867093
49,2.6388117932094195,2.185150881550558,4.516286797633549,0.9904825659025615,3.070910653240855,0.8857597716902972
50,2.691588029073608,2.200629336505596,4.611831660798996,0.9938753964576226,3.144126313943779,0.943496977438183
