,c,k,z
0,0.0,0.0,0.0
1,0.0,0.0,0.002220001737525879
2,0.0018794914024649898,0.001596109566649166,0.00036772990553943685
3,0.0021024703118269344,0.0008963670344783281,0.00026125743459975764
4,0.0023630349512255245,-8.950212528121789e-05,7.47017793509204e-05
5,0.002626253177677734,-0.0014188319245384492,0.0014986704202988054
6,0.0043140155345768845,-0.0019874998709073517,0.0018017501433989422
7,0.006452627506145485,-0.003278217909994316,0.0046506177998638775
8,0.01136436088825215,-0.003866140977374604,0.003053739900208789
9,0.015267888313324618,-0.008008204654140937,0.0027354352622467374
10,0.01959820195263841,-0.014109841802206756,-0.0005693200119670561
11,0.021926377335579682,-0.023844990936165107,-0.0019708985528550296
12,0.024116162297638005,-0.03443634671250005,0.001852719671024051
13,0.03076743001232404,-0.04229378084589364,0.0007960476801566143
14,0.037456070025819854,-0.052323009865151836,-0.00269447918703871
15,0.04214559271277955,-0.06521651695036872,0.0027461365331452013
16,0.05284535366024404,-0.07424402924633766,0.003770595927673506
17,0.06548219741235797,-0.0847502490834143,0.0009641342938426435
18,0.0767589538069491,-0.0989140227161179,-0.001866078843744057
19,0.0867817876481284,-0.11486398960462144,-0.005352443543556929
20,0.0949217674884696,-0.13135689142391205,-0.009485187533049859
21,0.10043053615178317,-0.1471029660876425,-0.007080423725983034
22,0.10893127067787155,-0.1573556387792146,-0.008257422101288958
23,0.11683137336589895,-0.16595767330946212,-0.010223700729272894
24,0.12321713750046867,-0.1730787974365453,-0.01282405507215422
25,0.12731023578990502,-0.17848878441327415,-0.013139543617309596
26,0.13096546900496991,-0.18051323935081548,-0.013162132535678975
27,0.1342165502133369,-0.1797571907658376,-0.013265518153716394
28,0.1368204256068991,-0.17696339024444144,-0.011282852122186066
29,0.14056997463012258,-0.17174397736400432,-0.010249118496306449
30,0.14453353265120844,-0.16587960301655993,-0.01087846993992743
31,0.14719620106177045,-0.16051510135641442,-0.009789460981282853
32,0.15015987826966243,-0.15448490654793545,-0.009836724208919833
33,0.15239292222255135,-0.14876368764082704,-0.009071147140800026
34,0.15467456461292847,-0.14284400504678132,-0.008750359565897809
35,0.1566223627638495,-0.13716418443055423,-0.007074735328462362
36,0.15952260330510779,-0.131189013298805,-0.007189763606330096
37,0.16176372634773484,-0.1261655757221593,-0.006689411668985095
38,0.1639664812870622,-0.12140138949422322,-0.005855952523698817
39,0.16647455811859216,-0.11679030417401073,-0.007259966582219057
40,0.1672501446446485,-0.11324189879103644,-0.004528547667619438
41,0.1701536290162323,-0.10847702026009423,-0.004220026066787101
42,0.17295737703410663,-0.10461438183932789,-0.003738048898977286
43,0.17586953129782124,-0.10123298039584706,-0.006941707839835
44,0.17549449507263315,-0.0993640592009401,-0.006238377903165101
45,0.1754713157407271,-0.0961969633382917,-0.006017016133028509
46,0.17533445074828552,-0.09273590524378555,-0.0016121685076781727
47,0.17899193783346484,-0.08797432953581648,-0.002716964421851537
48,0.18134378467709375,-0.08530537196862675,-0.0029115437619871495
49,0.18328715565020703,-0.08306699711897975,-0.0031666527175422967
50,0.18478048478926212,-0.08099169972389908,-0.004442070859247458
51,0.18487673924663284,-0.07920868177581072,-0.00418661308040221
52,0.1850054866454168,-0.07685839407140996,-0.00492401217439982
53,0.18423506038544665,-0.07460288401460508,-0.002440819755848079
54,0.18558359735898114,-0.0714196721591031,-0.0013466323508915566
55,0.18776640122831909,-0.06877172324109895,-0.003334703883460327
56,0.18792227300760736,-0.06734572992325985,-0.006693260979912007
57,0.18477300700240087,-0.06632613665104405,-0.006149862804869659
58,0.18196073427105322,-0.06387438896101312,-0.007512066479671593
59,0.1776835271173139,-0.06147852649920771,-0.005043796301484034
60,0.17553706478227207,-0.0580122787141613,-0.006583521846563855
61,0.1717675192890093,-0.05558559208136553,-0.00897217802047847
62,0.16558738965333986,-0.05347178311438351,-0.005862733937553689
63,0.16216181195229926,-0.049899918296091375,-0.0037109710221749095
64,0.16060201323086343,-0.04666289273397754,-0.0036146313001084586
65,0.15900164688992724,-0.044397678627209294,-0.0015321029795348272
66,0.15925088171587698,-0.04210443961758396,-0.0027203487532394565
67,0.15828764446597265,-0.04083946071006152,-0.004706632142671203
68,0.15536816641925885,-0.039876221128287336,-0.0037279814926699617
69,0.1532817357474915,-0.038139975604096335,-0.0033496577170731403
70,0.15146388327807275,-0.036474495641564936,-0.0003867131003384896
71,0.15235977978577,-0.034448475825994224,-0.004491505036799279
72,0.14931791996495838,-0.03407481710766713,-0.002617095231358159
73,0.14797765983847244,-0.032512471275000225,-0.002250350790780957
74,0.14691754131061305,-0.031187229846629645,-0.0011815679060988022
75,0.14680757091508323,-0.029886591507436264,-0.0021555322659933592
76,0.14572655619927208,-0.0291060611689506,-0.0030743867328854165
